Reference Year,Total Emissions (tonnes CO2e)
2004,5715171.9409
2005,5432556.4108
2006,4989982.5519
2007,5460799.6414
2008,5300541.8544
2009,4399994.10085
2010,4567904.04215
2011,4273242.24772
2012,4350494.41134
2013,4376408.3747
2014,4685180.76905
2015,4811231.2806400005
2016,5441689.47191
2017,5824615.98755
2018,5455231.06175
2019,5719305.0214599995
2020,3846801.8475
2021,3391562.6511999997
2022,3178882.27749
2023,3189377.5148
