Province,Baseline Year,Target Year,Target Type,Sector,Reduction Lower Bound,Reduction Upper Bound,Unit,Notes
New Brunswick,1990.0,2030,Overall,All,35,45,%,Compared to 1990 levels
New Brunswick,2001.0,2050,Overall,All,75,85,%,Compared to 2001 levels
