Province,Baseline Year,Target Year,Target Type,Sector,Reduction Lower Bound,Reduction Upper Bound,Unit,Notes
Ontario,2005.0,2030,Overall,All,30,30,%,
Ontario,2005.0,2050,Overall,All,80,80,%,
