Reference Year,Facility Name,Facility Province,Facility Description,Reporting Company,CO2 (tonnes),CH4 (tonnes CO2e),N2O (tonnes CO2e),HFC Total (tonnes CO2e),PFC Total (tonnes CO2e),SF6 (tonnes CO2e),Total Emissions (tonnes CO2e)
2023,"TransCanada Pipeline, Alberta System",Alberta,Pipeline Transportation of Natural Gas,NGTL GP Ltd. (as general partner on behalf of NGTL Limited Partnership),4459313.699,295739.164,30223.515,0.0,0.0,0.0,4785276.378
2023,Cardinal Power,Ontario,Fossil-Fuel Electric Power Generation,Cardinal Power,31110.25,165.3512,194.177425,0.0,0.0,0.0,31469.77863
2023,Cariboo Pulp and Paper Company,British Columbia,Chemical Pulp Mills,Cariboo Pulp,104270.2136,3307.41404,4702.2607,0.0,0.0,0.0,112279.8884
2023,Caribou North Comp Stn 11-08,Alberta,Oil and gas extraction (except oil sands),Cenovus,25300.44214,3124.6768,1662.0853,0.0,0.0,0.0,30087.20424
2023,Dundas Operations,Ontario,Lime Manufacturing,Carmeuse Lime,425710.6703,132.8901,442.50389,0.0,0.0,0.0,426286.0643
2023,Beachville Operation,Ontario,Lime Manufacturing,Carmeuse Lime,380042.8858,91.26292,566.8138,0.0,0.0,0.0,380700.9625
2023,Carol Project,Newfoundland and Labrador,Iron Ore Mining,Carol Project,775210.992,434.794472,4870.19862,0.0,0.0,0.0,780515.9851
2023,Carseland Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Nutrien,551222.084,3788.74524,2216.26655,0.0,0.0,0.0,557227.0958
2023,Carseland Power Plant,Alberta,Fossil-Fuel Electric Power Generation,TransCanada Energy Ltd.,387182.1192,750.918,2300.624,0.0,0.0,0.0,390233.6612
2023,Orica Carseland,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Orica Canada Inc,488.473,0.8204,35841.886,0.0,0.0,0.0,36331.1794
2023,Ingredion Canada Incorporated - London Plant,Ontario,Wet Corn Milling,Ingredion Canada Corporation,128719.78,70.37324,592.116,0.0,0.0,0.0,129382.2692
2023,Cavalier Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Cavalier Energy Centre,293633.0503,822.0912,1548.3685,0.0,0.0,0.0,296003.51
2023,Cavendish Farms,Prince Edward Island,Frozen Food Manufacturing,Cavendish Farms Corporation,48372.0,123.955104,1635.100085,0.0,0.0,0.0,50131.05519
2023,Co-op Refinery Complex,Saskatchewan,Petroleum Refineries,Consumers' Co-operative Refineries Limited,1857191.703,8899.716,8754.805,0.0,0.0,0.0,1874846.224
2023,Centrale de Cap-aux-Meules,Quebec,Fossil-Fuel Electric Power Generation,Hydro-Québec,129631.514,40.3284,703.84,0.0,0.0,0.0,130375.6824
2023,Chimie Parachem s.e.c,Quebec,Petrochemical Manufacturing,Chimie ParaChem s.e.c,169720.214,107.3072,543.197,0.0,0.0,0.0,170370.7182
2023,Christina Lake SAGD Bitumen Battery,Alberta,In-situ oil sands extraction,Cenovus Energy Inc.,3868642.055,8923.1436,9712.9337,0.0,0.0,0.0,3887278.131
2023,Cimenterie de Saint-Basile,Quebec,Cement Manufacturing,Ciment Québec Inc.,730043.9546,366.5648,965.766,0.0,0.0,0.0,731376.2854
2023,Cimenterie de Saint-Constant,Quebec,Cement Manufacturing,Lafarge Canada,674402.0126,1984.486,2485.6205,0.0,0.0,0.0,678872.1191
2023,Electric Utility - Generation,Alberta,Fossil-Fuel Electric Power Generation,City of Medicine Hat,531664.302,5465.845056,3577.182,417.014,0.0,0.0,541124.343
2023,Clover Bar Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Clover Bar Energy Centre,362986.584,1035.104,1914.36,0.0,0.0,0.0,365936.048
2023,Cochrane Extraction Plant,Alberta,Oil and gas extraction (except oil sands),Cochrane Extraction Plant,457107.5201,5638.12648,2811.6712,3434.273,0.0,0.0,468991.5908
2023,Cold Lake,Alberta,In-situ oil sands extraction,Imperial Oil Resources Limited,5674724.894,9560.9444,26138.964,0.0,0.0,0.0,5710424.802
2023,Coleson Cove Generating Station,New Brunswick,Fossil-Fuel Electric Power Generation,NB Power,472662.2228,206.7016,3048.6925,0.0,0.0,0.0,475917.6169
2023,Chatham,Ontario,Other Basic Organic Chemical Manufacturing,Greenfield Global Inc.,131634.5577,121.82758,603.77282,0.0,0.0,0.0,132360.1581
2023,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,Quebec,Iron and Steel Mills and Ferro-Alloy Manufacturing,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,883099.0,143.36,1860.3,528.168,0.0,0.0,885630.828
2023,Corner Brook Pulp and Paper,Newfoundland and Labrador,Newsprint Mills,Corner Brook Pulp and Paper Ltd,34284.96,39.92072,249.31465,40.017581,0.0,173.759,34787.97195
2023,Cory Cogeneration Station,Saskatchewan,Fossil-Fuel Electric Power Generation,SaskPower,595157.6841,4312.32256,4081.30528,0.0,0.0,0.0,603551.312
2023,Crofton Division,British Columbia,Chemical Pulp Mills,Catalyst Paper,80023.1013,3560.368,7945.283,0.0,0.0,0.0,91528.7523
2023,Delta Plant,British Columbia,Cement Manufacturing,Heidelberg Materials,753518.9,819.448,1544.261,0.0,0.0,0.0,755882.609
2023,ATCO Gas - Distribution System,Alberta,Natural Gas Distribution,ATCO Gas and Pipelines,57160.5447,108361.0724,277.3755,0.0,0.0,0.0,165798.9926
2023,Kruger Trois-Rivières S.E.C.,Quebec,Paperboard Mills,Kruger inc,69766.0,382.592,804.275,13.0,0.0,0.0,70965.867
2023,Usine Kénogami,Quebec,Newsprint Mills,Resolute FP Canada Inc.,20424.0,7149.268,93.81,0.0,0.0,0.0,27667.078
2023,ArcelorMittal Dofasco,Ontario,Iron and Steel Mills and Ferro-Alloy Manufacturing,ArcelorMittal Dofasco,4160933.014,910.236264,6440.2579,0.0,0.0,0.0,4168283.508
