Reference Year,Total Emissions (tonnes CO2e)
2004,22665646.323599
2005,22700179.2771
2006,22212634.1118
2007,23107898.124885
2008,22018014.391
2009,22537097.746412
2010,22804530.924291
2011,22553539.298065
2012,23658763.89959
2013,23885252.649509
2014,23993084.6006
2015,24997856.60593
2016,25170020.796078
2017,29232903.5832
2018,29767151.704469
2019,29252267.209754
2020,25579273.734615
2021,28705137.694920998
2022,28393359.115042
2023,28416601.383946
