Reference Year,Total CH4 (tonnes CO2e),% Change from 2014
2014,4681658.000162,0.0
2015,4373236.464934,-6.587869836227416
2016,4451517.59098,-4.9157885769109235
2017,7123531.46179,52.15830506080332
2018,6853397.540906,46.388256909600216
2019,6534852.935302,39.584158754780326
2020,5982004.1097,27.775333215134555
2021,5948642.656184,27.062734099290438
2022,6606349.827566,41.1113290919029
2023,6115061.544802,30.61743392170893
