Province,Baseline Year,Target Year,Target Type,Sector,Reduction Lower Bound,Reduction Upper Bound,Unit,Notes
Alberta,2014.0,2025,Sector,Methane Emissions,45,45,%,Reduction below 2014 levels
Alberta,2014.0,,Sector,Oil Sands,100,100,megatonnes,Cap: emissions not to exceed 100 megatonnes/year
