Reference Year,Facility Name,Facility Province,Facility Description,Reporting Company,CO2 (tonnes),CH4 (tonnes CO2e),N2O (tonnes CO2e),HFC Total (tonnes CO2e),PFC Total (tonnes CO2e),SF6 (tonnes CO2e),Total Emissions (tonnes CO2e)
2023,Leafland Facility,Alberta,Oil and gas extraction (except oil sands),Leafland Facility,8606.15454,2127.5898,158.0036,0.0,0.0,0.0,10891.74794
2023,Everdell 14-20-038-07W5 GP,Alberta,Oil and gas extraction (except oil sands),Everdell 14-20-038-07W5 GP,14300.97565,906.409,849.961,0.0,0.0,0.0,16057.34565
2023,Moose Mountain Compressor Station,Alberta,Oil and gas extraction (except oil sands),Moose Mountain Compressor Station,18836.6529,5185.5132,498.8095,0.0,0.0,0.0,24520.9756
2023,Bonnybrook Wastewater Treatment Plant,Alberta,Sewage Treatment Facilities,City of Calgary,18599.98,7908.124,51552.835,0.0,0.0,0.0,78060.939
2023,Drayton Valley Sawmill,Alberta,Sawmills (except Shingle and Shake Mills),Weyerhaeuser Company Ltd.,15123.1,8.12,108.65,0.0,0.0,0.0,15239.87
2023,Joffre Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Nutrien,17950.6809,62.74772,98.2885,0.0,0.0,0.0,18111.71712
2023,Dunvegan Plant 15-03-081-04 W6M,Alberta,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,17646.36852,1209.63052,663.07505,0.0,0.0,0.0,19519.07409
2023,Alberta Processing Company,Alberta,Rendering and Meat Processing from Carcasses,West Coast Reduction Ltd.,14471.209,8.12,65.985,15.2447,0.0,0.0,14560.5587
2023,Northern Alberta Processing Company,Alberta,Rendering and Meat Processing from Carcasses,West Coast Reduction Ltd.,17904.459,9.996,82.415,23.4667,0.0,0.0,18020.3367
2023,Pembina  North Gas Plant,Alberta,Oil and gas extraction (except oil sands),Keyera Corp,18719.99299,2343.9066,969.09705,0.0,0.0,0.0,22032.99664
2023,"Alberta Plywood, a division of West Fraser Mills Ltd.",Alberta,Softwood Veneer and Plywood Mills,West Fraser Mills Ltd.,19097.2306,114.0468,96.0625,0.0,0.0,0.0,19307.3399
2023,Centrica Compressor Station 10-10,Alberta,Oil and gas extraction (except oil sands),Centrica Compressor Station 10-10,12199.2917,1011.3824,82.998,0.0,0.0,0.0,13293.6721
2023,Turin Sour Gas Plant,Alberta,Oil and gas extraction (except oil sands),Turin Sour Gas Plant,17943.03,1935.92,121.9,0.0,0.0,0.0,20000.85
