Reference Year,Total CH4 (tonnes CO2e)
2004,3789441.464654
2005,4077957.928604
2006,3749914.357814
2007,3233901.723898
2008,3210559.219348
2009,4310797.207182
2010,4403264.761118
2011,4451650.578292
2012,5173578.045586
2013,6619098.37487
2014,4681658.000162
2015,4373236.464934
2016,4451517.59098
2017,7123531.46179
2018,6853397.540906
2019,6534852.935302
2020,5982004.1097
2021,5948642.656184
2022,6606349.827566
2023,6115061.544802
