Reference Year,Quebec Emissions
2004,23669662.394102998
2005,22312177.04532
2006,22464869.254859
2007,23423962.69448
2008,20128038.616792
2009,20550088.638817
2010,20965463.610339
2011,20326659.414037
2012,20858035.142528
2013,20033074.887625
2014,20317425.046151
2015,19938604.456698
2016,19667868.281612
2017,22895512.33603
2018,22088709.253772
2019,22699143.119705
2020,21738398.743405
2021,22768226.519017998
2022,22732613.737792
2023,22884555.922942
