Reference Year,Total Emissions (tonnes CO2e) (sum)
2004,2640791.2859
2005,2971315.2367000002
2006,2577746.04202
2007,2540244.229549
2008,2422913.2278
2009,2220238.7293889998
2010,1967710.5426979999
2011,2090316.615765
2012,1961265.769436
2013,2102150.368016
2014,2021852.43911
2015,2154989.447914
2016,1896172.226001
2017,2496265.4560599998
2018,2671102.77701
2019,2694231.26565
2020,2553530.17647
2021,2700283.16898
2022,2907828.44161
2023,2435428.16353
