Reference Year,Facility Name,Facility Province,Facility Description,Reporting Company,CO2 (tonnes),CH4 (tonnes CO2e),N2O (tonnes CO2e),HFC Total (tonnes CO2e),PFC Total (tonnes CO2e),SF6 (tonnes CO2e),Total Emissions (tonnes CO2e)
2005,Brandon Generating Station,Manitoba,Fossil-Fuel Electric Power Generation,Manitoba Hydro,585052.878,190.316,2413.09,0.0,0.0,0.0,587656.284
2005,Faulkner,Manitoba,Lime Manufacturing,Graymont Western Canada Inc.,152506.5709,20.132,179.935,0.0,0.0,0.0,152706.6379
2005,"HBM&S Co., LTD. - Metallurgical Complex",Manitoba,Non-Ferrous Metal (except Aluminum) Smelting and Refining,HBM&S Co. Ltd.,195644.2275,189.84,1452.2,70.2,0.0,0.0,197356.4675
2005,"TransCanada Pipeline System, Manitoba",Manitoba,Pipeline Transportation of Natural Gas,TransCanada PipeLines Ltd.,618334.2375,40130.86008,7258.350265,0.0,0.0,0.0,665723.4478
2005,Simplot Canada Limited,Manitoba,Chemical Fertilizer (except Potash) Manufacturing,Simplot Canada Limited,698914.0,111574.4,47699.99947,0.0,0.0,0.0,858188.3995
2005,Summit Road Landfill,Manitoba,Waste Treatment and Disposal,Water & Waste Department,0.0,163436.0,0.0,0.0,0.0,0.0,163436.0
2004,Brady Road Landfill,Manitoba,Waste Treatment and Disposal,Water & Waste Department,31780.0,393148.0,0.0,0.0,0.0,0.0,424928.0
2004,Brandon Generating Station,Manitoba,Fossil-Fuel Electric Power Generation,Manitoba Hydro,355576.767,156.072,1671.62,0.0,0.0,0.0,357719.018
2004,Faulkner,Manitoba,Lime Manufacturing,Graymont Western Canada Inc.,138065.0084,19.012,179.67,0.0,0.0,0.0,138993.2824
2004,"HBM&S Co., LTD. - Metallurgical Complex",Manitoba,Non-Ferrous Metal (except Aluminum) Smelting and Refining,HBM&S Co. Ltd.,201280.0625,189.28,1491.95,88.4,0.0,0.0,203049.6925
2004,Manitoba Kraft Papers Division,Manitoba,Paper (except Newsprint) Mills,Tolko Manitoba Kraft Papers,107519.7338,389.032,2715.985,0.0,0.0,0.0,110624.7508
2004,"Rapid City compressor station -30, Manitoba",Manitoba,Pipeline Transportation of Natural Gas,TransCanada PipeLines Ltd.,430749.0,28667.24,5000.550265,0.0,0.0,0.0,473796.7903
2004,Simplot Canada Limited,Manitoba,Chemical Fertilizer (except Potash) Manufacturing,Simplot Canada Limited,577854.0,85967.84,44761.15186,0.0,0.0,0.0,709349.7519
2004,Summit Road Landfill,Manitoba,Waste Treatment and Disposal,Water & Waste Department,16642.0,205688.0,0.0,0.0,0.0,0.0,222330.0
