Reference Year,PEI Total Emission (tonnes CO2e)
2004,107000.0
2005,104326.5
2006,99608.03
2007,101962.46
2008,98589.0
2009,74103.0
2010,62811.0
2011,65117.22
2012,52648.95
2013,59519.14
2014,55466.36
2015,50305.41
2016,55078.68
2017,98826.3
2018,95582.13
2019,85012.01
2020,80829.17
2021,95132.7
2022,52146.23
2023,53167.21
